category,sales_channel,revenue,profit,orders,units,return_rate,avg_discount,margin_pct
Аксессуары,Магазин,2601250.98,484954.89,613,947,0.022865853658536585,0.06595365853658536,0.18643141078220757
Аксессуары,Маркетплейс,1023144.05,168806.67,242,390,0.052830188679245285,0.07776981132075472,0.1649881754187008
Аксессуары,Сайт,1946092.9000000001,335562.46,442,668,0.049783549783549784,0.06826536796536796,0.17242879823465776
Аудио,Магазин,13637145.27,2654010.9,526,645,0.08050089445438283,0.06160053667262969,0.19461631063199783
Аудио,Маркетплейс,5157334.26,887785.11,199,257,0.11267605633802817,0.0757962441314554,0.17214030839257644
Аудио,Сайт,10549401.44,1949770.15,377,496,0.0925,0.070162,0.1848228225164593
Бытовая техника,Магазин,39461879.0,8563111.19,763,995,0.039285714285714285,0.06449464285714286,0.2169970464406928
Бытовая техника,Маркетплейс,13842289.97,2844804.55,254,346,0.06597222222222222,0.0746204861111111,0.20551545706421867
Бытовая техника,Сайт,27013350.81,5968159.01,520,700,0.058823529411764705,0.06619204152249135,0.2209336802375018
Игровая техника,Магазин,12003192.75,2997467.31,500,634,0.09297912713472485,0.06593814041745731,0.2497225007071556
Игровая техника,Маркетплейс,4503729.87,985794.7,180,233,0.10152284263959391,0.07692030456852791,0.2188840646430688
Игровая техника,Сайт,8506944.42,2096334.91,367,463,0.08607594936708861,0.06859291139240506,0.24642630849585354
Ноутбуки,Магазин,69948039.3,15775397.83,625,789,0.08792846497764531,0.058711177347242925,0.22553023627068272
Ноутбуки,Маркетплейс,28149774.91,5855195.66,247,340,0.08518518518518518,0.07334481481481482,0.20800150902521017
Ноутбуки,Сайт,53148732.01,11768764.2,479,644,0.09142857142857143,0.06980895238095239,0.22143076146737972
Смартфоны,Магазин,49136083.78,12502742.54,753,949,0.07411907654921021,0.06668116646415553,0.25445134365976935
Смартфоны,Маркетплейс,18648232.61,4727736.16,280,362,0.07744107744107744,0.07171885521885522,0.25352194274243345
Смартфоны,Сайт,35077423.41,8948116.45,534,692,0.07363013698630137,0.06997243150684931,0.2550961724129669
Телевизоры,Магазин,54054378.78,14085370.2,607,771,0.061377245508982034,0.06408877245508983,0.26057778329720727
Телевизоры,Маркетплейс,23491399.63,5831154.48,269,359,0.08275862068965517,0.07398344827586208,0.2482250769150957
Телевизоры,Сайт,38920997.1,9966166.98,435,554,0.08137044967880086,0.06765160599571735,0.2560614506970069
