customer_id,last_purchase,frequency,monetary,recency_days,r_score,f_score,m_score,rfm_code,rfm_segment
C00003,2025-05-15,1,108881.24,231,1,1,2,112,Обычные
C00004,2025-11-09,2,110543.86,53,3,2,2,322,Обычные
C00005,2025-03-22,2,18747.15,285,1,2,1,121,Обычные
C00006,2025-07-14,1,37071.78,171,2,1,1,211,Обычные
C00007,2025-11-15,2,114842.41,47,4,2,2,422,Новые/перспективные
C00009,2025-06-10,3,554222.8300000001,205,1,3,5,135,Крупные покупатели
C00010,2025-12-15,2,87394.97,17,4,2,2,422,Новые/перспективные
C00011,2025-12-23,2,135656.25999999998,9,5,2,2,522,Новые/перспективные
C00012,2025-12-04,6,133018.59,28,4,5,2,452,Лояльные
C00013,2025-12-26,2,359687.45,6,5,2,4,524,Крупные покупатели
C00014,2025-02-21,1,10864.27,314,1,1,1,111,Обычные
C00015,2025-11-08,1,1762.1,54,3,1,1,311,Обычные
C00019,2025-12-12,6,703948.61,20,4,5,5,455,Чемпионы
C00020,2025-07-04,1,11187.72,181,2,1,1,211,Обычные
C00021,2025-04-14,1,677.36,262,1,1,1,111,Обычные
C00022,2025-12-21,8,924081.28,11,5,5,5,555,Чемпионы
C00024,2025-12-26,9,547338.41,6,5,5,5,555,Чемпионы
C00026,2025-10-05,6,147031.28999999998,88,3,5,3,353,Лояльные
C00027,2025-10-20,3,248225.11,73,3,3,3,333,Обычные
C00028,2025-03-04,1,146887.53,303,1,1,3,113,Обычные
C00029,2025-12-22,4,650760.6,10,5,4,5,545,Чемпионы
C00030,2025-09-15,3,160928.72,108,2,3,3,233,Под риском ухода
C00031,2025-12-05,1,28036.56,27,4,1,1,411,Новые/перспективные
C00033,2025-09-02,1,73556.43000000001,121,2,1,2,212,Обычные
C00034,2025-08-20,3,192045.84,134,2,3,3,233,Под риском ухода
C00035,2025-11-16,1,13412.45,46,4,1,1,411,Новые/перспективные
C00036,2025-05-01,3,212852.91999999998,245,1,3,3,133,Под риском ухода
C00037,2025-12-19,5,630741.3200000001,13,5,4,5,545,Чемпионы
C00038,2025-03-17,1,37840.42999999999,290,1,1,1,111,Обычные
C00040,2025-12-28,6,776117.62,4,5,5,5,555,Чемпионы
C00041,2025-07-05,2,98548.71,180,2,2,2,222,Обычные
C00042,2025-05-07,1,157558.04,239,1,1,3,113,Обычные
C00043,2025-12-18,8,1450205.03,14,5,5,5,555,Чемпионы
C00044,2025-12-18,1,24072.5,14,5,1,1,511,Новые/перспективные
C00046,2025-05-30,1,15724.310000000001,216,1,1,1,111,Обычные
C00048,2025-12-11,4,475243.59,21,4,4,5,445,Чемпионы
C00049,2025-07-20,3,190484.02,165,2,3,3,233,Под риском ухода
C00050,2025-04-20,2,66346.76,256,1,2,2,122,Обычные
C00051,2025-07-15,2,279085.58999999997,170,2,2,4,224,Крупные покупатели
C00052,2025-12-05,4,443265.55,27,4,4,4,444,Чемпионы
C00053,2025-09-19,4,418560.68,104,2,4,4,244,Крупные покупатели
C00054,2025-03-28,1,172301.58000000002,279,1,1,3,113,Обычные
C00055,2025-01-24,1,8105.76,342,1,1,1,111,Обычные
C00056,2025-12-04,3,278500.88,28,4,3,4,434,Крупные покупатели
C00057,2025-11-30,7,857181.66,32,4,5,5,455,Чемпионы
C00058,2025-08-11,1,240695.05,143,2,1,3,213,Обычные
C00059,2025-10-11,3,18956.739999999998,82,3,3,1,331,Обычные
C00061,2025-02-11,1,94388.82,324,1,1,2,112,Обычные
