month_start,net_revenue_rub,gross_profit_rub,orders,units,return_rate,avg_order_value_rub
2025-01-01,34414123.77,8835835.62,385,765,0.06933744221879815,89387.33446753248
2025-02-01,29958086.13,7359785.84,345,676,0.0564373897707231,86835.03226086956
2025-03-01,38611193.29,9736129.7,468,913,0.07793923381770146,82502.54976495726
2025-04-01,34294990.25,8642583.35,428,845,0.06676136363636363,80128.48189252337
2025-05-01,44538496.42,11189666.07,504,1008,0.07384987893462469,88370.03257936508
2025-06-01,39294677.53,9656014.8,469,939,0.07392996108949416,83783.96061833689
2025-07-01,39425251.77,9783717.73,467,928,0.07662835249042145,84422.38066381156
2025-08-01,41171661.82,9535786.57,500,1095,0.08323563892145369,82343.32364
2025-09-01,41084430.63,8913295.56,541,1090,0.06727480045610035,75941.64626617376
2025-10-01,49742703.96,12198760.85,540,1112,0.06930693069306931,92116.11844444445
2025-11-01,51064387.61,10556265.77,614,1221,0.06646525679758308,83166.75506514657
2025-12-01,67220814.07,12989364.49,778,1642,0.06765163297045101,86402.07464010282
