product_id,product_name,category,brand,revenue,profit,units,orders,return_rate,revenue_share,cumulative_revenue_share,abc_class,xyz_cv,xyz_class,abc_xyz_class
P023,Телевизоры Hisense Model 23,Телевизоры,Hisense,43267423.2,10349798.31,334,282,0.05944055944055944,0.08470176182899093,0.08470176182899093,A,0.514377879820461,Z,AZ
P029,Бытовая техника LG Model 29,Бытовая техника,LG,34952255.51,6991515.34,424,340,0.046242774566473986,0.06842371009499025,0.15312547192398118,A,0.36488829444931536,Y,AY
P012,Ноутбуки Lenovo Model 12,Ноутбуки,Lenovo,33806526.54,6197067.75,214,178,0.08426966292134831,0.06618079255657038,0.21930626448055157,A,0.367588045594339,Y,AY
P011,Ноутбуки Apple Model 11,Ноутбуки,Apple,23889092.61,5211416.47,241,200,0.0891089108910891,0.046766090580659475,0.2660723550612111,A,0.4138367134498965,Y,AY
P016,Ноутбуки Apple Model 16,Ноутбуки,Apple,22794368.99,3660072.15,225,184,0.11413043478260869,0.04462302282963586,0.31069537789084695,A,0.3919939530901711,Y,AY
P002,Смартфоны Samsung Model 02,Смартфоны,Samsung,22273537.4,4259849.5,273,225,0.06521739130434782,0.0436034254044489,0.35429880329529584,A,0.3040734334009029,Y,AY
P032,Бытовая техника Bosch Model 32,Бытовая техника,Bosch,20240514.48,5348570.77,372,301,0.04560260586319218,0.03962351140849086,0.3939223147037867,A,0.43836165829332274,Y,AY
P019,Телевизоры Samsung Model 19,Телевизоры,Samsung,19143283.42,6652994.78,135,113,0.10619469026548672,0.03747553500865083,0.4313978497124375,A,0.45197326844731267,Y,AY
P025,Телевизоры LG Model 25,Телевизоры,LG,18642898.55,5522819.16,125,104,0.0673076923076923,0.036495964769728655,0.46789381448216616,A,0.3449289781969616,Y,AY
P013,Ноутбуки ASUS Model 13,Ноутбуки,ASUS,18117237.72,6412369.63,253,207,0.08695652173913043,0.035466913462012,0.5033607279441782,A,0.2125218191109892,X,AX
P017,Ноутбуки Lenovo Model 17,Ноутбуки,Lenovo,16570140.17,3298203.43,283,230,0.08085106382978724,0.03243826330180752,0.5357989912459857,A,0.3637173724352468,Y,AY
P014,Ноутбуки Acer Model 14,Ноутбуки,Acer,15851936.97,5817992.04,257,206,0.10096153846153846,0.03103228457943195,0.5668312758254177,A,0.3342455483658248,Y,AY
P020,Телевизоры LG Model 20,Телевизоры,LG,15389147.3,2789611.84,269,221,0.053811659192825115,0.030126311967564986,0.5969575877929827,A,0.4587276242950863,Y,AY
P005,Смартфоны realme Model 05,Смартфоны,realme,14150552.0,3649812.15,348,283,0.059027777777777776,0.027701596180397248,0.6246591839733799,A,0.3533431298606758,Y,AY
P008,Смартфоны Xiaomi Model 08,Смартфоны,Xiaomi,13863758.459999999,4549577.35,171,146,0.05405405405405406,0.027140159507663447,0.6517993434810434,A,0.44116208684309466,Y,AY
P009,Смартфоны Honor Model 09,Смартфоны,Honor,13263396.290000001,3728368.0,136,114,0.13157894736842105,0.025964870346129185,0.6777642138271726,A,0.5310432378019937,Z,AZ
P044,Аудио Marshall Model 44,Аудио,Marshall,12664137.209999999,1654992.49,356,300,0.10526315789473684,0.024791740630652613,0.7025559544578251,A,0.3257458205466117,Y,AY
P015,Ноутбуки HP Model 15,Ноутбуки,HP,12388842.02,1543685.6099999999,99,77,0.0759493670886076,0.024252813514326288,0.7268087679721514,A,0.4202554356103984,Y,AY
P036,Бытовая техника Haier Model 36,Бытовая техника,Haier,10683159.43,1423853.7,121,102,0.049019607843137254,0.020913711949941093,0.7477224799220925,A,0.31997455673728825,Y,AY
P001,Смартфоны Apple Model 01,Смартфоны,Apple,10601061.04,2789501.88,172,142,0.06164383561643835,0.020752993382436392,0.7684754733045289,A,0.34218462719911996,Y,AY
P059,Игровая техника HyperX Model 59,Игровая техника,HyperX,9252067.6,2852704.25,325,272,0.09642857142857143,0.01811215848603907,0.786587631790568,A,0.43647864720677426,Y,AY
P003,Смартфоны Xiaomi Model 03,Смартфоны,Xiaomi,8701343.63,2540025.3,122,109,0.1,0.017034042733112598,0.8036216745236806,B,0.4748442084577128,Y,BY
P057,Игровая техника Logitech Model 57,Игровая техника,Logitech,8431518.97,1478551.45,138,116,0.08620689655172414,0.01650582491017304,0.8201274994338537,B,0.41323412838792034,Y,BY
P010,Смартфоны realme Model 10,Смартфоны,realme,7899842.89,2294651.05,225,183,0.10270270270270271,0.015464997946890153,0.8355924973807438,B,0.23563939807665,X,BX
P018,Ноутбуки ASUS Model 18,Ноутбуки,ASUS,7828401.2,1258550.61,201,170,0.06936416184971098,0.015325141293465953,0.8509176386742098,B,0.24750931271308957,X,BX
P026,Телевизоры Sony Model 26,Телевизоры,Sony,6353202.8,1387389.73,278,235,0.07563025210084033,0.012437243325756416,0.8633548819999662,B,0.25220932579795835,Y,BY
P022,Телевизоры TCL Model 22,Телевизоры,TCL,6105790.32,1427666.78,163,137,0.08633093525179857,0.011952900339634701,0.8753077823396009,B,0.27291995606791686,Y,BY
P006,Смартфоны Apple Model 06,Смартфоны,Apple,5848587.04,856559.55,178,153,0.058823529411764705,0.011449390554374475,0.8867571728939754,B,0.19232857043397406,X,BX
P033,Бытовая техника Samsung Model 33,Бытовая техника,Samsung,4959559.8,833043.24,245,209,0.028169014084507043,0.009709000950078253,0.8964661738440536,B,0.17020946499586154,X,BX
P042,Аудио JBL Model 42,Аудио,JBL,4613240.12,836623.23,76,71,0.04225352112676056,0.009031033905069381,0.905497207749123,B,0.4387718947508702,Y,BY
P021,Телевизоры Sony Model 21,Телевизоры,Sony,4235842.7,959129.7,212,172,0.10285714285714286,0.008292228031746294,0.9137894357808694,B,0.2833331588241737,Y,BY
P040,Аудио Xiaomi Model 40,Аудио,Xiaomi,4087512.86,1269822.39,209,172,0.09195402298850575,0.008001852551752089,0.9217912883326215,B,0.32518289641236736,Y,BY
P038,Аудио Sony Model 38,Аудио,Sony,3926390.98,744457.86,269,227,0.08771929824561403,0.00768643494432685,0.9294777232769483,B,0.4421604532517087,Y,BY
P034,Бытовая техника LG Model 34,Бытовая техника,LG,3770953.92,968436.16,142,123,0.06504065040650407,0.007382146131594444,0.9368598694085428,B,0.3870037088460305,Y,BY
P007,Смартфоны Samsung Model 07,Смартфоны,Samsung,3449575.4,1071304.89,221,189,0.08376963350785341,0.006753004739647775,0.9436128741481906,B,0.36388081335779127,Y,BY
P024,Телевизоры Samsung Model 24,Телевизоры,Samsung,3329187.22,793281.36,168,144,0.047619047619047616,0.006517328792359431,0.9501302029405501,C,0.17251638983558856,X,CX
P004,Смартфоны Honor Model 04,Смартфоны,Honor,2810085.65,438945.48,157,139,0.05755395683453238,0.005501118112468624,0.9556313210530187,C,0.31430394373185544,Y,CY
P055,Игровая техника Sony Model 55,Игровая техника,Sony,2689635.2,433832.41,271,218,0.06334841628959276,0.005265320263335451,0.9608966413163542,C,0.4407547889430732,Y,CY
P058,Игровая техника ASUS Model 58,Игровая техника,ASUS,2486844.41,565738.68,219,176,0.11864406779661017,0.004868330197245892,0.9657649715136001,C,0.29177331865928674,Y,CY
P039,Аудио Marshall Model 39,Аудио,Marshall,2406124.97,553379.43,83,69,0.08695652173913043,0.004710311108606254,0.9704752826222063,C,0.4108769374693959,Y,CY
P050,Аксессуары Logitech Model 50,Аксессуары,Logitech,2364294.02,360889.06,167,115,0.03418803418803419,0.004628421434991939,0.9751037040571983,C,0.651649990843927,Z,CZ
P028,Бытовая техника Samsung Model 28,Бытовая техника,Samsung,1756340.45,632683.5599999999,238,193,0.05154639175257732,0.0034382710936786904,0.9785419751508769,C,0.313412709226412,Y,CY
P035,Бытовая техника Philips Model 35,Бытовая техника,Philips,1350003.76,464281.44,201,165,0.08875739644970414,0.002642812732785118,0.981184787883662,C,0.3697357664825118,Y,CY
P056,Игровая техника Microsoft Model 56,Игровая техника,Microsoft,1301557.84,457712.14,233,195,0.09693877551020408,0.0025479733715766065,0.9837327612552387,C,0.371064731025549,Y,CY
P030,Бытовая техника Philips Model 30,Бытовая техника,Philips,956056.24,332381.71,87,76,0.03896103896103896,0.0018716078274705434,0.9856043690827092,C,0.47489490253134703,Y,CY
P060,Игровая техника Sony Model 60,Игровая техника,Sony,852243.02,291057.99,144,128,0.09302325581395349,0.001668379578945204,0.9872727486616544,C,0.36164490461920934,Y,CY
P027,Бытовая техника Bosch Model 27,Бытовая техника,Bosch,831326.91,145072.32,118,95,0.05263157894736842,0.001627433499040705,0.9889001821606951,C,0.344447481913586,Y,CY
P031,Бытовая техника Haier Model 31,Бытовая техника,Haier,817349.28,236236.51,93,80,0.05,0.0016000704207792347,0.9905002525814743,C,0.4916930479644592,Y,CY
P052,Аксессуары Baseus Model 52,Аксессуары,Baseus,804639.83,171128.98,189,130,0.038461538461538464,0.0015751899743079625,0.9920754425557823,C,0.49120936280982563,Y,CY
P053,Аксессуары Samsung Model 53,Аксессуары,Samsung,613828.67,84229.03,384,254,0.03125,0.0012016516345291918,0.9932770941903115,C,0.3309648930274428,Y,CY
P041,Аудио Philips Model 41,Аудио,Philips,568943.96,140268.48,220,180,0.08839779005524862,0.0011137838177052092,0.9943908780080167,C,0.5238131014868339,Z,CZ
P037,Аудио JBL Model 37,Аудио,JBL,555270.61,145201.38,108,81,0.13580246913580246,0.0010870164081982702,0.995477894416215,C,0.41573970964154905,Y,CY
P043,Аудио Sony Model 43,Аудио,Sony,522260.26,146820.9,77,64,0.03125,0.0010223942375950615,0.9965002886538101,C,0.37347542453372484,Y,CY
P051,Аксессуары Xiaomi Model 51,Аксессуары,Xiaomi,397368.43,112045.62,181,132,0.05263157894736842,0.0007779017937037686,0.9972781904475139,C,0.29333842988858083,Y,CY
P054,Аксессуары Apple Model 54,Аксессуары,Apple,386665.9,89937.23,151,105,0.0380952380952381,0.0007569501612749711,0.9980351406087888,C,0.37339484394729666,Y,CY
P045,Аксессуары Logitech Model 45,Аксессуары,Logitech,386119.97,72576.37,132,91,0.043478260869565216,0.0007558814303588368,0.9987910220391477,C,0.3979977435322333,Y,CY
P048,Аксессуары Samsung Model 48,Аксессуары,Samsung,324845.62,48548.67,219,156,0.019230769230769232,0.0006359287034322602,0.9994269507425799,C,0.17913283329619206,X,CX
P047,Аксессуары Baseus Model 47,Аксессуары,Baseus,111389.17,20283.96,239,163,0.042682926829268296,0.00021805918286506559,0.999645009925445,C,0.5291687892344641,Z,CZ
P049,Аксессуары Apple Model 49,Аксессуары,Apple,107090.79,19032.3,184,113,0.05263157894736842,0.00020964452971302628,0.9998546544551581,C,0.6014711014024748,Z,CZ
P046,Аксессуары Xiaomi Model 46,Аксессуары,Xiaomi,74245.53,10652.8,159,116,0.034482758620689655,0.00014534554484231917,1.0000000000000004,C,0.4940610862513921,Y,CY
