line_id,order_id,sale_date,customer_id,city,sales_channel,customer_segment,payment_method,product_id,product_name,category,brand,promo_campaign,discount_pct,quantity,unit_price_rub,unit_cost_rub,returned,gross_revenue_rub,discount_amount_rub,sales_after_discount_rub,net_revenue_rub,cost_total_rub,gross_profit_rub,margin_pct,month_start,month_num,year
L000001,ORD001544,2025-08-20,C01091,Санкт-Петербург,Сайт,Новый,СБП,P044,Аудио Marshall Model 44,Аудио,Marshall,Back-to-school,0.1494,2,40727.77,34013.16,0,81455.54,12169.46,69286.08,69286.08,68026.32,1259.76,0.018182040054003926,2025-08-01,8,2025
L000002,ORD000204,2025-07-04,C01701,Екатеринбург,Магазин,Регулярный,Карта,P005,Смартфоны realme Model 05,Смартфоны,realme,Без акции,0.0359,2,47737.1,30814.55,1,95474.2,3427.52,92046.68,0.0,0.0,0.0,,2025-07-01,7,2025
L000003,ORD001458,2025-06-19,C00619,Москва,Магазин,Новый,Наличные,P052,Аксессуары Baseus Model 52,Аксессуары,Baseus,Без акции,0.0475,1,4619.43,3334.68,0,4619.43,219.42,4400.01,4400.01,3334.68,1065.33,0.24211940045573688,2025-06-01,6,2025
L000004,ORD000154,2025-07-04,C00948,Самара,Магазин,Регулярный,Карта,P012,Ноутбуки Lenovo Model 12,Ноутбуки,Lenovo,Без акции,0.0278,2,175503.36,138234.66,0,351006.72,9757.99,341248.73,341248.73,276469.32,64779.41,0.18983048692834603,2025-07-01,7,2025
L000005,ORD002194,2025-04-04,C00264,Казань,Магазин,Регулярный,Карта,P059,Игровая техника HyperX Model 59,Игровая техника,HyperX,Без акции,0.0194,1,31879.41,20907.66,0,31879.41,618.46,31260.95,31260.95,20907.66,10353.29,0.3311892194408304,2025-04-01,4,2025
L000006,ORD001777,2025-05-10,C00748,Екатеринбург,Сайт,Новый,Карта,P008,Смартфоны Xiaomi Model 08,Смартфоны,Xiaomi,Без акции,0.0701,1,90606.83,58146.74,0,90606.83,6351.54,84255.29,84255.29,58146.74,26108.55,0.3098743217177575,2025-05-01,5,2025
L000007,ORD002165,2025-03-07,C00494,Екатеринбург,Маркетплейс,Регулярный,Карта,P023,Телевизоры Hisense Model 23,Телевизоры,Hisense,Weekend,0.0944,1,152471.06,100536.18,0,152471.06,14393.27,138077.79,138077.79,100536.18,37541.61,0.27188740064297084,2025-03-01,3,2025
L000008,ORD002862,2025-09-21,C00940,Санкт-Петербург,Магазин,Регулярный,СБП,P017,Ноутбуки Lenovo Model 17,Ноутбуки,Lenovo,Back-to-school,0.1152,1,70953.67,50505.87,0,70953.67,8173.86,62779.81,62779.81,50505.87,12273.94,0.19550772390508192,2025-09-01,9,2025
L000009,ORD002005,2025-07-27,C01897,Москва,Маркетплейс,Новый,Карта,P006,Смартфоны Apple Model 06,Смартфоны,Apple,Без акции,0.0169,1,38220.7,30521.41,0,38220.7,645.93,37574.77,37574.77,30521.41,7053.36,0.18771532435430455,2025-07-01,7,2025
L000010,ORD005834,2025-11-14,C02153,Москва,Магазин,Регулярный,Карта,P035,Бытовая техника Philips Model 35,Бытовая техника,Philips,Без акции,0.0423,1,8255.06,4945.37,0,8255.06,349.19,7905.87,7905.87,4945.37,2960.5,0.37446866717529403,2025-11-01,11,2025
L000011,ORD005140,2025-08-04,C01889,Екатеринбург,Сайт,Новый,Рассрочка,P033,Бытовая техника Samsung Model 33,Бытовая техника,Samsung,Без акции,0.0169,2,21834.08,16994.97,0,43668.16,737.99,42930.17,42930.17,33989.94,8940.23,0.2082504796162911,2025-08-01,8,2025
L000012,ORD001674,2025-05-16,C01312,Санкт-Петербург,Магазин,VIP,Карта,P060,Игровая техника Sony Model 60,Игровая техника,Sony,Weekend,0.1075,1,7029.13,4194.86,0,7029.13,755.63,6273.5,6273.5,4194.86,2078.64,0.33133641726647256,2025-05-01,5,2025
L000013,ORD002941,2025-09-04,C00742,Казань,Магазин,Регулярный,Карта,P023,Телевизоры Hisense Model 23,Телевизоры,Hisense,Без акции,0.0215,1,141726.65,106871.43,0,141726.65,3047.12,138679.53,138679.53,106871.43,31808.1,0.22936404318184542,2025-09-01,9,2025
L000014,ORD005605,2025-10-29,C02007,Санкт-Петербург,Сайт,Регулярный,СБП,P002,Смартфоны Samsung Model 02,Смартфоны,Samsung,Без акции,0.0297,1,92794.61,68575.43,0,92794.61,2756.0,90038.61,90038.61,68575.43,21463.18,0.23837751452643124,2025-10-01,10,2025
L000015,ORD001223,2025-08-04,C02242,Новосибирск,Сайт,VIP,Карта,P009,Смартфоны Honor Model 09,Смартфоны,Honor,Без акции,0.04,1,120914.88,79262.18,0,120914.88,4836.6,116078.28,116078.28,79262.18,36816.1,0.3171661681892806,2025-08-01,8,2025
