product_id,category,brand,product_name,base_price,base_cost,demand_pattern,popularity
P001,Смартфоны,Apple,Смартфоны Apple Model 01,70160.0,47854.69,moderate,1.2749728952035617
P002,Смартфоны,Samsung,Смартфоны Samsung Model 02,94440.0,71271.98,seasonal,1.2612316008467526
P003,Смартфоны,Xiaomi,Смартфоны Xiaomi Model 03,84970.0,55441.2,stable,0.965202413149741
P004,Смартфоны,Honor,Смартфоны Honor Model 04,20430.0,15872.12,moderate,1.3280004436253008
P005,Смартфоны,realme,Смартфоны realme Model 05,46390.0,32137.14,seasonal,1.6432921276199468
P006,Смартфоны,Apple,Смартфоны Apple Model 06,37360.0,29539.36,stable,1.4382578783024096
P007,Смартфоны,Samsung,Смартфоны Samsung Model 07,18080.0,11677.31,moderate,1.667851422745903
P008,Смартфоны,Xiaomi,Смартфоны Xiaomi Model 08,91960.0,57318.99,seasonal,0.9719567825984547
P009,Смартфоны,Honor,Смартфоны Honor Model 09,121550.0,80565.45,stable,0.8980280916299594
P010,Смартфоны,realme,Смартфоны realme Model 10,41460.0,27332.47,moderate,1.644313021718458
P011,Ноутбуки,Apple,Ноутбуки Apple Model 11,117420.0,85471.91,seasonal,1.237559046468251
P012,Ноутбуки,Lenovo,Ноутбуки Lenovo Model 12,181900.0,139843.92,stable,1.3727571000491057
P013,Ноутбуки,ASUS,Ноутбуки ASUS Model 13,84230.0,50644.23,moderate,1.7213404551585096
P014,Ноутбуки,Acer,Ноутбуки Acer Model 14,74030.0,43391.15,seasonal,1.275897845133485
P015,Ноутбуки,HP,Ноутбуки HP Model 15,145090.0,118365.48,stable,0.7852155031257145
P016,Ноутбуки,Apple,Ноутбуки Apple Model 16,123180.0,96585.82,moderate,1.5239021258133016
P017,Ноутбуки,Lenovo,Ноутбуки Lenovo Model 17,68240.0,50761.77,seasonal,1.47802921366048
P018,Ноутбуки,ASUS,Ноутбуки ASUS Model 18,45000.0,35543.19,stable,1.6573383743712387
P019,Телевизоры,Samsung,Телевизоры Samsung Model 19,172480.0,104844.46,moderate,0.9286670715812255
P020,Телевизоры,LG,Телевизоры LG Model 20,65370.0,49511.46,seasonal,1.2763429637341375
P021,Телевизоры,Sony,Телевизоры Sony Model 21,24060.0,17455.08,stable,1.487089633844823
P022,Телевизоры,TCL,Телевизоры TCL Model 22,43750.0,31354.36,moderate,1.1994460685428359
P023,Телевизоры,Hisense,Телевизоры Hisense Model 23,148390.0,104292.95,seasonal,1.6344404157597414
P024,Телевизоры,Samsung,Телевизоры Samsung Model 24,22340.0,15930.23,stable,1.2007506289129106
P025,Телевизоры,LG,Телевизоры LG Model 25,168770.0,111261.82,moderate,0.7598637447262703
P026,Телевизоры,Sony,Телевизоры Sony Model 26,26420.0,19215.04,seasonal,1.4120555595463213
P027,Бытовая техника,Bosch,Бытовая техника Bosch Model 27,8040.0,6199.81,stable,0.779264991086183
P028,Бытовая техника,Samsung,Бытовая техника Samsung Model 28,8400.0,5001.27,moderate,1.6658755228932263
P029,Бытовая техника,LG,Бытовая техника LG Model 29,93250.0,69493.52,seasonal,1.7579220116373393
P030,Бытовая техника,Philips,Бытовая техника Philips Model 30,12280.0,7401.81,stable,0.6727224458567918
P031,Бытовая техника,Haier,Бытовая техника Haier Model 31,10050.0,6612.57,moderate,0.7144289664204541
P032,Бытовая техника,Bosch,Бытовая техника Bosch Model 32,61350.0,41663.46,seasonal,1.7163993086345903
P033,Бытовая техника,Samsung,Бытовая техника Samsung Model 33,22430.0,17449.41,stable,1.7998493686695416
P034,Бытовая техника,LG,Бытовая техника LG Model 34,30430.0,21119.75,moderate,1.2090056242970277
P035,Бытовая техника,Philips,Бытовая техника Philips Model 35,8020.0,4937.41,seasonal,1.0352806043417724
P036,Бытовая техника,Haier,Бытовая техника Haier Model 36,98120.0,80102.42,stable,0.827220957978395
P037,Аудио,JBL,Аудио JBL Model 37,6260.0,4355.95,moderate,0.6912742400236712
P038,Аудио,Sony,Аудио Sony Model 38,17330.0,13173.97,seasonal,1.4147182330405053
P039,Аудио,Marshall,Аудио Marshall Model 39,33930.0,24643.54,stable,0.61163620882848
P040,Аудио,Xiaomi,Аудио Xiaomi Model 40,22810.0,14725.23,moderate,1.7078382861186405
P041,Аудио,Philips,Аудио Philips Model 41,3040.0,2106.37,seasonal,1.0176370047759717
P042,Аудио,JBL,Аудио JBL Model 42,68130.0,51913.7,stable,0.7115920748704162
P043,Аудио,Sony,Аудио Sony Model 43,7630.0,5089.86,moderate,0.6121466191715172
P044,Аудио,Marshall,Аудио Marshall Model 44,42680.0,34361.9,seasonal,1.6938988696999537
P045,Аксессуары,Logitech,Аксессуары Logitech Model 45,3320.0,2502.22,stable,0.8227183797477459
P046,Аксессуары,Xiaomi,Аксессуары Xiaomi Model 46,520.0,416.85,moderate,1.1028520304221185
P047,Аксессуары,Baseus,Аксессуары Baseus Model 47,520.0,397.57,seasonal,1.0109554260871985
P048,Аксессуары,Samsung,Аксессуары Samsung Model 48,1620.0,1288.45,stable,1.284835661550329
P049,Аксессуары,Apple,Аксессуары Apple Model 49,660.0,498.3,moderate,0.8791299839860389
P050,Аксессуары,Logitech,Аксессуары Logitech Model 50,16000.0,12392.52,seasonal,0.6808472411328234
P051,Аксессуары,Xiaomi,Аксессуары Xiaomi Model 51,2480.0,1675.34,stable,1.2150074806474631
P052,Аксессуары,Baseus,Аксессуары Baseus Model 52,4770.0,3460.66,moderate,1.0799252059811457
P053,Аксессуары,Samsung,Аксессуары Samsung Model 53,1770.0,1422.25,seasonal,1.4957580245067388
P054,Аксессуары,Apple,Аксессуары Apple Model 54,2840.0,2032.7,stable,0.8070322625835216
P055,Игровая техника,Sony,Игровая техника Sony Model 55,11460.0,8929.84,moderate,1.6413259962815516
P056,Игровая техника,Microsoft,Игровая техника Microsoft Model 56,6710.0,4037.92,seasonal,1.2320458694841356
P057,Игровая техника,Logitech,Игровая техника Logitech Model 57,71920.0,55230.12,stable,1.1027844477415416
P058,Игровая техника,ASUS,Игровая техника ASUS Model 58,13740.0,9939.5,moderate,1.744986244663039
P059,Игровая техника,HyperX,Игровая техника HyperX Model 59,33990.0,21808.26,seasonal,1.5383634591013728
P060,Игровая техника,Sony,Игровая техника Sony Model 60,6940.0,4271.77,stable,0.8526773939373029
