ticket_id,created_at,channel,category,priority,customer_segment,previous_tickets_90d,backlog_at_creation,agent_experience_months,first_response_minutes,messages_count,reopen_count,resolution_minutes,sla_limit_minutes,sla_breached,cluster
TKT-00001,2026-06-14 01:53:00,email,account,low,business,4,48,15,192.5,4,1,1394.6,1800,0,2
TKT-00002,2026-05-13 11:59:00,chat,technical,high,business,6,22,8,34.9,16,3,915.9,780,1,0
TKT-00003,2026-03-16 16:07:00,portal,incident,critical,standard,3,60,26,124.8,9,1,1495.6,420,1,2
TKT-00004,2026-01-15 11:09:00,email,billing,high,standard,4,25,23,23.2,15,1,778.9,780,0,0
TKT-00005,2026-01-28 11:38:00,email,how_to,low,standard,0,17,44,18.8,3,0,162.3,1800,0,1
TKT-00006,2026-02-13 16:31:00,chat,account,low,standard,2,51,16,81.1,6,0,1108.7,1800,0,2
TKT-00007,2026-03-15 03:10:00,phone,incident,critical,standard,3,56,10,121.0,7,0,1348.4,420,1,2
TKT-00008,2026-06-09 11:04:00,chat,technical,critical,vip,2,53,21,90.0,9,1,1845.4,420,1,2
TKT-00009,2026-01-22 12:33:00,email,account,medium,standard,1,9,37,12.4,3,0,191.9,1200,0,1
TKT-00010,2026-04-14 20:17:00,chat,account,high,standard,3,22,21,39.5,15,2,914.2,780,1,0
TKT-00011,2026-03-04 12:25:00,email,how_to,medium,business,1,18,28,11.9,4,0,136.4,1200,0,1
TKT-00012,2026-01-09 09:15:00,email,technical,high,business,2,48,19,84.4,8,1,731.2,780,0,2
TKT-00013,2026-04-22 11:29:00,portal,billing,low,standard,6,19,36,32.2,12,1,909.4,1800,0,0
TKT-00014,2026-05-07 18:22:00,chat,technical,low,standard,4,52,13,125.1,6,1,1383.4,1800,0,2
TKT-00015,2026-06-22 16:57:00,chat,billing,medium,vip,6,23,18,29.7,14,2,964.0,1200,0,0
TKT-00016,2026-04-02 04:52:00,email,how_to,high,standard,1,10,37,11.3,3,0,161.3,780,0,1
TKT-00017,2026-02-28 13:43:00,chat,technical,low,business,7,24,15,60.3,13,4,715.0,1800,0,0
TKT-00018,2026-06-03 19:32:00,email,billing,low,business,1,10,33,16.1,3,0,171.1,1800,0,1
TKT-00019,2026-02-14 12:34:00,email,technical,high,standard,4,51,13,81.6,7,0,1036.6,780,1,2
TKT-00020,2026-05-03 20:06:00,portal,account,low,business,5,22,19,29.5,15,1,893.1,1800,0,0
TKT-00021,2026-06-19 19:26:00,portal,incident,medium,standard,1,43,13,147.1,6,1,957.6,1200,0,2
TKT-00022,2026-01-01 19:12:00,portal,account,medium,standard,0,19,32,13.3,4,0,163.6,1200,0,1
TKT-00023,2026-06-16 12:45:00,email,incident,medium,standard,4,47,28,129.6,7,0,1365.9,1200,1,2
TKT-00024,2026-02-07 00:47:00,portal,technical,high,vip,3,54,32,136.7,5,1,1300.3,780,1,2
TKT-00025,2026-03-28 16:24:00,portal,technical,critical,standard,2,54,6,115.6,10,3,1469.3,420,1,2
TKT-00026,2026-02-16 10:24:00,portal,billing,low,standard,2,10,19,11.8,3,1,171.0,1800,0,1
TKT-00027,2026-01-27 00:14:00,chat,account,critical,vip,5,16,20,50.8,18,1,1006.5,420,1,0
TKT-00028,2026-05-07 09:38:00,email,how_to,high,standard,0,11,32,11.2,2,0,176.0,780,0,1
TKT-00029,2026-03-28 19:03:00,portal,billing,medium,business,2,3,37,19.0,2,0,176.1,1200,0,1
TKT-00030,2026-04-02 16:14:00,portal,how_to,high,business,4,20,15,20.7,14,0,804.1,780,1,0
TKT-00031,2026-03-29 01:09:00,portal,how_to,high,business,6,28,25,47.9,15,1,1004.9,780,1,0
TKT-00032,2026-05-15 12:58:00,portal,incident,high,business,2,56,23,92.7,10,3,1358.3,780,1,2
TKT-00033,2026-06-23 21:33:00,portal,how_to,medium,business,1,15,41,8.5,3,0,188.0,1200,0,1
TKT-00034,2026-04-03 07:35:00,portal,billing,low,standard,1,15,43,10.7,2,0,150.9,1800,0,1
TKT-00035,2026-01-29 00:09:00,email,technical,critical,vip,5,28,9,33.3,17,1,938.0,420,1,0
TKT-00036,2026-02-28 22:18:00,phone,how_to,medium,vip,0,16,25,12.7,2,0,343.7,1200,0,1
TKT-00037,2026-03-31 06:51:00,email,technical,medium,business,2,15,22,10.7,6,1,201.6,1200,0,1
TKT-00038,2026-01-19 15:48:00,chat,billing,medium,business,5,23,30,26.8,14,0,622.7,1200,0,0
TKT-00039,2026-02-11 05:44:00,portal,technical,low,standard,1,10,25,19.5,4,0,172.6,1800,0,1
TKT-00040,2026-02-06 11:19:00,email,technical,medium,business,5,13,5,42.7,14,4,790.5,1200,0,0
TKT-00041,2026-06-25 03:10:00,phone,billing,medium,standard,6,21,23,50.9,16,1,654.5,1200,0,0
TKT-00042,2026-03-14 03:22:00,email,billing,high,business,3,50,30,137.8,9,0,1300.4,780,1,2
TKT-00043,2026-06-08 05:28:00,chat,account,medium,business,6,3,28,32.0,15,2,655.5,1200,0,0
TKT-00044,2026-04-10 06:16:00,phone,billing,low,business,2,14,39,14.3,4,0,206.1,1800,0,1
TKT-00045,2026-04-02 02:18:00,email,account,high,standard,3,51,35,149.9,11,0,997.4,780,1,2
TKT-00046,2026-06-18 22:54:00,email,incident,medium,business,3,47,35,120.7,7,0,858.9,1200,0,2
TKT-00047,2026-05-05 13:14:00,email,how_to,high,business,1,9,27,13.3,2,0,215.2,780,0,1
TKT-00048,2026-02-13 03:35:00,portal,account,low,standard,1,12,41,14.4,4,0,223.3,1800,0,1
TKT-00049,2026-02-20 16:43:00,portal,billing,medium,vip,7,12,4,31.4,14,0,876.4,1200,0,0
TKT-00050,2026-04-30 21:29:00,portal,incident,low,business,1,7,29,11.8,2,0,332.2,1800,0,1
TKT-00051,2026-01-01 09:40:00,chat,how_to,medium,standard,1,9,44,10.0,3,0,122.9,1200,0,1
TKT-00052,2026-01-28 10:59:00,email,billing,medium,standard,0,16,51,11.0,1,0,227.2,1200,0,1
TKT-00053,2026-01-14 09:05:00,email,technical,high,business,2,54,9,114.5,7,1,1108.3,780,1,2
TKT-00054,2026-05-09 11:24:00,portal,billing,critical,business,7,18,37,24.5,16,1,822.8,420,1,0
